Number,Filename,Output,Formula,# variables,variables,prefix,prefix_length,path
1,I.6.2a,f,exp(-theta**2/2)/sqrt(2*pi),1,['theta'],"['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 'pi', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'exp', 'mul', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'pow', 's_1', 's+', '2']",46,./Feynman_with_units/I.6.2a
2,I.6.2,f,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,"['sigma', 'theta']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 'pi', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's_1', 's-', '1', 'exp', 'mul', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's_1', 's-', '2', 'pow', 's_2', 's+', '2']",56,./Feynman_with_units/I.6.2
3,I.6.2b,f,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),3,"['sigma', 'theta', 'theta1']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 'pi', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's_1', 's-', '1', 'exp', 'mul', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 's_1', 's-', '2', 'pow', 'add', 's_2', 'mul', 's-', '1', 's_3', 's+', '2']",61,./Feynman_with_units/I.6.2b
4,I.8.14,d,sqrt((x2-x1)**2+(y2-y1)**2),4,"['x1', 'x2', 'y1', 'y2']","['pow', 'add', 'pow', 'add', 's_2', 'mul', 's-', '1', 's_1', 's+', '2', 'pow', 'add', 's_4', 'mul', 's-', '1', 's_3', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",28,./Feynman_with_units/I.8.14
5,I.9.18,F,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),9,"['m1', 'm2', 'G', 'x1', 'x2', 'y1', 'y2', 'z1', 'z2']","['mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'pow', 'add', 'pow', 'add', 's_5', 'mul', 's-', '1', 's_4', 's+', '2', 'add', 'pow', 'add', 's_7', 'mul', 's-', '1', 's_6', 's+', '2', 'pow', 'add', 's_9', 'mul', 's-', '1', 's_8', 's+', '2', 's-', '1']",38,./Feynman_with_units/I.9.18
6,I.10.7,m,m_0/sqrt(1-v**2/c**2),3,"['m_0', 'v', 'c']","['mul', 's_1', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'mul', 'pow', 's_2', 's+', '2', 'pow', 's_3', 's-', '2', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1']",26,./Feynman_with_units/I.10.7
7,I.11.19,A,x1*y1+x2*y2+x3*y3,6,"['x1', 'x2', 'x3', 'y1', 'y2', 'y3']","['add', 'mul', 's_1', 's_4', 'add', 'mul', 's_2', 's_5', 'mul', 's_3', 's_6']",11,./Feynman_with_units/I.11.19
8,I.12.1,F,mu*Nn,2,"['mu', 'Nn']","['mul', 's_1', 's_2']",3,./Feynman_with_units/I.12.1
10,I.12.2,F,q1*q2*r/(4*pi*epsilon*r**3),4,"['q1', 'q2', 'epsilon', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_3', 's-', '1', 'pow', 's_4', 's-', '2']",27,./Feynman_with_units/I.12.2
11,I.12.4,Ef,q1*r/(4*pi*epsilon*r**3),3,"['q1', 'epsilon', 'r']","['mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'mul', 's_1', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '2']",25,./Feynman_with_units/I.12.4
